marker1_1	marker1_2	marker2_1	marker2_2	cluster	motifname	motiflocid
0.70711	-0.70711	-0.70711	0.70711	2	1	67
0.70711	-0.70711	0.70711	-0.70711	4	1	107
-0.70711	0.70711	0.70711	-0.70711	1	1	147
-0.70711	0.70711	-0.70711	0.70711	3	1	187
0.70711	-0.70711	-0.70711	0.70711	2	1	227
0.70711	-0.70711	-0.70711	0.70711	2	1	267
-0.70711	0.70711	-0.70711	0.70711	3	1	307
0.70711	-0.70711	0.70711	-0.70711	4	1	347
-0.70711	0.70711	0.70711	-0.70711	1	1	387
0.70711	-0.70711	-0.70711	0.70711	2	1	427
-0.70711	0.70711	0.70711	-0.70711	1	1	467
-0.70711	0.70711	-0.70711	0.70711	3	1	507
0.70711	-0.70711	-0.70711	0.70711	2	1	671
0.70711	-0.70711	0.70711	-0.70711	4	1	1071
-0.70711	0.70711	0.70711	-0.70711	1	1	1471
-0.70711	0.70711	-0.70711	0.70711	3	1	1871
0.70711	-0.70711	-0.70711	0.70711	2	1	2271
0.70711	-0.70711	-0.70711	0.70711	2	1	2671
-0.70711	0.70711	-0.70711	0.70711	3	1	3071
0.70711	-0.70711	0.70711	-0.70711	4	1	3471
-0.70711	0.70711	0.70711	-0.70711	1	1	3871
0.70711	-0.70711	-0.70711	0.70711	2	1	4271
-0.70711	0.70711	0.70711	-0.70711	1	1	4671
-0.70711	0.70711	-0.70711	0.70711	3	1	5071
-0.70711	0.70711	-0.70711	0.70711	3	2	1
0.70711	-0.70711	-0.70711	0.70711	2	2	2
-0.70711	0.70711	0.70711	-0.70711	1	2	3
0.70711	-0.70711	-0.70711	0.70711	2	2	4
0.70711	-0.70711	-0.70711	0.70711	2	2	5
-0.70711	0.70711	0.70711	-0.70711	1	2	6
0.70711	-0.70711	-0.70711	0.70711	2	2	7
0.70711	-0.70711	0.70711	-0.70711	4	2	8
-0.70711	0.70711	-0.70711	0.70711	3	2	9
-0.70711	0.70711	-0.70711	0.70711	3	2	10
0.70711	-0.70711	0.70711	-0.70711	4	2	11
0.70711	-0.70711	0.70711	-0.70711	4	2	12
0.70711	-0.70711	0.70711	-0.70711	4	2	13
-0.70711	0.70711	-0.70711	0.70711	3	2	14
-0.70711	0.70711	-0.70711	0.70711	3	2	15
-0.70711	0.70711	-0.70711	0.70711	3	2	16
-0.70711	0.70711	0.70711	-0.70711	1	2	17
0.70711	-0.70711	0.70711	-0.70711	4	2	19
0.70711	-0.70711	0.70711	-0.70711	4	2	20
-0.70711	0.70711	0.70711	-0.70711	1	2	21
0.70711	-0.70711	0.70711	-0.70711	4	2	22
-0.70711	0.70711	-0.70711	0.70711	3	2	23
-0.70711	0.70711	0.70711	-0.70711	1	2	24
0.70711	-0.70711	0.70711	-0.70711	4	2	25
0.70711	-0.70711	0.70711	-0.70711	4	2	26
0.70711	-0.70711	0.70711	-0.70711	4	2	27
-0.70711	0.70711	0.70711	-0.70711	1	2	28
0.70711	-0.70711	-0.70711	0.70711	2	2	31
0.70711	-0.70711	0.70711	-0.70711	4	2	33
0.70711	-0.70711	-0.70711	0.70711	2	2	34
0.70711	-0.70711	0.70711	-0.70711	4	2	35
0.70711	-0.70711	-0.70711	0.70711	2	2	36
0.70711	-0.70711	0.70711	-0.70711	4	2	37
-0.70711	0.70711	0.70711	-0.70711	1	2	38
-0.70711	0.70711	0.70711	-0.70711	1	2	39
-0.70711	0.70711	0.70711	-0.70711	1	2	40
-0.70711	0.70711	-0.70711	0.70711	3	2	41
-0.70711	0.70711	0.70711	-0.70711	1	2	42
-0.70711	0.70711	-0.70711	0.70711	3	2	43
-0.70711	0.70711	0.70711	-0.70711	1	2	44
0.70711	-0.70711	-0.70711	0.70711	2	2	45
0.70711	-0.70711	-0.70711	0.70711	2	2	46
0.70711	-0.70711	-0.70711	0.70711	2	2	47
-0.70711	0.70711	0.70711	-0.70711	1	2	48
0.70711	-0.70711	0.70711	-0.70711	4	2	49
-0.70711	0.70711	0.70711	-0.70711	1	2	50
-0.70711	0.70711	0.70711	-0.70711	1	2	51
-0.70711	0.70711	-0.70711	0.70711	3	2	52
0.70711	-0.70711	0.70711	-0.70711	4	2	53
0.70711	-0.70711	0.70711	-0.70711	4	2	54
-0.70711	0.70711	0.70711	-0.70711	1	2	55
0.70711	-0.70711	0.70711	-0.70711	4	2	56
0.70711	-0.70711	-0.70711	0.70711	2	2	57
0.70711	-0.70711	-0.70711	0.70711	2	2	59
-0.70711	0.70711	0.70711	-0.70711	1	2	60
-0.70711	0.70711	-0.70711	0.70711	3	2	61
0.70711	-0.70711	0.70711	-0.70711	4	2	62
0.70711	-0.70711	0.70711	-0.70711	4	2	64
-0.70711	0.70711	-0.70711	0.70711	3	2	65
-0.70711	0.70711	0.70711	-0.70711	1	2	67
0.70711	-0.70711	0.70711	-0.70711	4	2	71
-0.70711	0.70711	0.70711	-0.70711	1	2	73
-0.70711	0.70711	-0.70711	0.70711	3	2	74
-0.70711	0.70711	-0.70711	0.70711	3	2	75
0.70711	-0.70711	-0.70711	0.70711	2	2	76
0.70711	-0.70711	-0.70711	0.70711	2	2	77
0.70711	-0.70711	0.70711	-0.70711	4	2	78
-0.70711	0.70711	-0.70711	0.70711	3	2	79
0.70711	-0.70711	-0.70711	0.70711	2	2	80
-0.70711	0.70711	-0.70711	0.70711	3	2	81
-0.70711	0.70711	0.70711	-0.70711	1	2	82
0.70711	-0.70711	-0.70711	0.70711	2	2	83
-0.70711	0.70711	0.70711	-0.70711	1	2	84
0.70711	-0.70711	0.70711	-0.70711	4	2	85
-0.70711	0.70711	-0.70711	0.70711	3	2	86
-0.70711	0.70711	-0.70711	0.70711	3	2	87
-0.70711	0.70711	-0.70711	0.70711	3	2	88
-0.70711	0.70711	-0.70711	0.70711	3	2	89
-0.70711	0.70711	0.70711	-0.70711	1	2	90
-0.70711	0.70711	-0.70711	0.70711	3	2	91
0.70711	-0.70711	-0.70711	0.70711	2	2	92
0.70711	-0.70711	0.70711	-0.70711	4	2	93
-0.70711	0.70711	0.70711	-0.70711	1	2	94
0.70711	-0.70711	-0.70711	0.70711	2	2	95
-0.70711	0.70711	0.70711	-0.70711	1	2	96
0.70711	-0.70711	0.70711	-0.70711	4	2	99
0.70711	-0.70711	0.70711	-0.70711	4	2	100
-0.70711	0.70711	0.70711	-0.70711	1	2	101
-0.70711	0.70711	0.70711	-0.70711	1	2	102
0.70711	-0.70711	0.70711	-0.70711	4	2	103
0.70711	-0.70711	-0.70711	0.70711	2	2	105
-0.70711	0.70711	-0.70711	0.70711	3	2	106
-0.70711	0.70711	-0.70711	0.70711	3	2	107
-0.70711	0.70711	0.70711	-0.70711	1	2	108
0.70711	-0.70711	-0.70711	0.70711	2	2	111
0.70711	-0.70711	-0.70711	0.70711	2	2	113
-0.70711	0.70711	0.70711	-0.70711	1	2	114
0.70711	-0.70711	-0.70711	0.70711	2	2	115
0.70711	-0.70711	-0.70711	0.70711	2	2	116
-0.70711	0.70711	-0.70711	0.70711	3	2	117
0.70711	-0.70711	0.70711	-0.70711	4	2	118
0.70711	-0.70711	-0.70711	0.70711	2	2	119
-0.70711	0.70711	-0.70711	0.70711	3	2	120
-0.70711	0.70711	-0.70711	0.70711	3	2	121
-0.70711	0.70711	-0.70711	0.70711	3	2	122
-0.70711	0.70711	0.70711	-0.70711	1	2	123
-0.70711	0.70711	0.70711	-0.70711	1	2	124
-0.70711	0.70711	0.70711	-0.70711	1	2	125
0.70711	-0.70711	0.70711	-0.70711	4	2	126
-0.70711	0.70711	0.70711	-0.70711	1	2	127
0.70711	-0.70711	0.70711	-0.70711	4	2	128
-0.70711	0.70711	-0.70711	0.70711	3	2	129
-0.70711	0.70711	-0.70711	0.70711	3	2	130
0.70711	-0.70711	-0.70711	0.70711	2	2	131
0.70711	-0.70711	-0.70711	0.70711	2	2	132
0.70711	-0.70711	0.70711	-0.70711	4	2	133
-0.70711	0.70711	0.70711	-0.70711	1	2	134
-0.70711	0.70711	-0.70711	0.70711	3	2	135
0.70711	-0.70711	-0.70711	0.70711	2	2	136
-0.70711	0.70711	-0.70711	0.70711	3	2	137
-0.70711	0.70711	-0.70711	0.70711	3	2	139
0.70711	-0.70711	0.70711	-0.70711	4	2	140
0.70711	-0.70711	0.70711	-0.70711	4	2	141
0.70711	-0.70711	0.70711	-0.70711	4	2	143
0.70711	-0.70711	-0.70711	0.70711	2	2	144
-0.70711	0.70711	0.70711	-0.70711	1	2	145
0.70711	-0.70711	-0.70711	0.70711	2	2	146
-0.70711	0.70711	-0.70711	0.70711	3	2	147
-0.70711	0.70711	-0.70711	0.70711	3	2	148
-0.70711	0.70711	0.70711	-0.70711	1	2	151
0.70711	-0.70711	-0.70711	0.70711	2	2	154
0.70711	-0.70711	-0.70711	0.70711	2	2	155
-0.70711	0.70711	-0.70711	0.70711	3	2	156
-0.70711	0.70711	0.70711	-0.70711	1	2	157
0.70711	-0.70711	0.70711	-0.70711	4	2	158
-0.70711	0.70711	0.70711	-0.70711	1	2	159
0.70711	-0.70711	0.70711	-0.70711	4	2	160
-0.70711	0.70711	0.70711	-0.70711	1	2	161
-0.70711	0.70711	-0.70711	0.70711	3	2	162
0.70711	-0.70711	-0.70711	0.70711	2	2	163
0.70711	-0.70711	0.70711	-0.70711	4	2	164
-0.70711	0.70711	0.70711	-0.70711	1	2	165
-0.70711	0.70711	0.70711	-0.70711	1	2	167
0.70711	-0.70711	-0.70711	0.70711	2	2	168
-0.70711	0.70711	0.70711	-0.70711	1	2	170
0.70711	-0.70711	0.70711	-0.70711	4	2	171
-0.70711	0.70711	-0.70711	0.70711	3	2	172
-0.70711	0.70711	-0.70711	0.70711	3	2	173
-0.70711	0.70711	-0.70711	0.70711	3	2	174
0.70711	-0.70711	-0.70711	0.70711	2	2	175
-0.70711	0.70711	-0.70711	0.70711	3	2	176
0.70711	-0.70711	-0.70711	0.70711	2	2	177
0.70711	-0.70711	0.70711	-0.70711	4	2	178
-0.70711	0.70711	-0.70711	0.70711	3	2	180
0.70711	-0.70711	0.70711	-0.70711	4	2	181
-0.70711	0.70711	0.70711	-0.70711	1	2	182
0.70711	-0.70711	0.70711	-0.70711	4	2	183
0.70711	-0.70711	0.70711	-0.70711	4	2	184
0.70711	-0.70711	0.70711	-0.70711	4	2	185
0.70711	-0.70711	0.70711	-0.70711	4	2	186
0.70711	-0.70711	0.70711	-0.70711	4	2	187
-0.70711	0.70711	0.70711	-0.70711	1	2	188
0.70711	-0.70711	-0.70711	0.70711	2	2	191
-0.70711	0.70711	0.70711	-0.70711	1	2	192
-0.70711	0.70711	-0.70711	0.70711	3	2	193
-0.70711	0.70711	-0.70711	0.70711	3	2	194
-0.70711	0.70711	0.70711	-0.70711	1	2	195
0.70711	-0.70711	-0.70711	0.70711	2	2	196
-0.70711	0.70711	0.70711	-0.70711	1	2	197
0.70711	-0.70711	0.70711	-0.70711	4	2	198
-0.70711	0.70711	-0.70711	0.70711	3	2	199
-0.70711	0.70711	0.70711	-0.70711	1	2	200
-0.70711	0.70711	-0.70711	0.70711	3	2	201
0.70711	-0.70711	0.70711	-0.70711	4	2	202
0.70711	-0.70711	0.70711	-0.70711	4	2	203
0.70711	-0.70711	0.70711	-0.70711	4	2	204
-0.70711	0.70711	-0.70711	0.70711	3	2	205
-0.70711	0.70711	-0.70711	0.70711	3	2	206
-0.70711	0.70711	-0.70711	0.70711	3	2	207
-0.70711	0.70711	-0.70711	0.70711	3	2	208
0.70711	-0.70711	-0.70711	0.70711	2	2	209
0.70711	-0.70711	0.70711	-0.70711	4	2	210
0.70711	-0.70711	-0.70711	0.70711	2	2	211
0.70711	-0.70711	0.70711	-0.70711	4	2	212
0.70711	-0.70711	-0.70711	0.70711	2	2	213
0.70711	-0.70711	-0.70711	0.70711	2	2	214
-0.70711	0.70711	0.70711	-0.70711	1	2	215
-0.70711	0.70711	0.70711	-0.70711	1	2	216
0.70711	-0.70711	-0.70711	0.70711	2	2	217
0.70711	-0.70711	-0.70711	0.70711	2	2	218
-0.70711	0.70711	-0.70711	0.70711	3	2	219
-0.70711	0.70711	0.70711	-0.70711	1	2	220
-0.70711	0.70711	0.70711	-0.70711	1	2	221
0.70711	-0.70711	-0.70711	0.70711	2	2	222
0.70711	-0.70711	-0.70711	0.70711	2	2	223
-0.70711	0.70711	-0.70711	0.70711	3	2	224
-0.70711	0.70711	0.70711	-0.70711	1	2	225
-0.70711	0.70711	-0.70711	0.70711	3	2	227
0.70711	-0.70711	-0.70711	0.70711	2	2	228
-0.70711	0.70711	0.70711	-0.70711	1	2	231
-0.70711	0.70711	-0.70711	0.70711	3	2	232
0.70711	-0.70711	-0.70711	0.70711	2	2	233
0.70711	-0.70711	-0.70711	0.70711	2	2	234
-0.70711	0.70711	-0.70711	0.70711	3	2	235
